n:	80
m:	2
Pi[1-99]	34	70	26	15	90	49	82	95	44	12	68	40	69	35	99	90	29	71	50	57	90	28	40	87	52	70	36	82	70	93	25	56	92	17	97	73	93	28	54	29	40	94	41	71	36	64	2	25	92	40	60	13	40	72	12	32	43	2	54	5	22	96	80	20	39	37	82	57	16	21	49	82	9	4	24	61	7	79	68	32
Sij:1-99																																																																															
0	29	71	34	41	14	13	6	83	53	84	75	6	53	54	79	22	46	14	12	27	29	7	46	28	25	35	68	90	42	1	95	73	32	22	42	7	86	67	89	14	1	96	96	88	2	82	84	7	28	30	14	4	84	57	11	87	58	8	54	52	13	99	15	8	58	81	82	13	37	78	75	60	22	79	9	16	90	92	81	7
76	0	48	25	49	51	36	25	10	72	88	84	72	94	24	52	26	31	80	51	60	69	61	53	55	54	91	44	47	6	85	72	1	6	25	60	1	63	83	93	74	17	55	67	69	75	16	75	66	13	30	36	45	44	94	24	2	15	6	55	31	86	1	91	78	87	68	38	42	23	25	64	17	55	86	6	66	63	76	62	75
86	10	0	26	25	48	75	5	45	41	12	96	61	63	43	73	54	8	50	8	85	18	70	12	25	47	90	38	53	55	51	66	60	6	50	78	17	69	26	31	8	69	18	31	89	32	90	88	31	69	99	86	24	34	57	41	6	36	93	75	20	33	54	25	50	98	27	77	64	70	8	68	13	76	52	47	19	43	87	23	21
92	94	33	0	20	53	12	41	73	83	11	64	91	77	44	98	85	28	30	21	89	3	74	19	16	76	24	96	2	71	92	61	42	75	47	77	74	83	84	51	49	64	76	88	84	74	74	95	1	89	87	23	19	66	52	32	30	88	32	19	11	77	17	17	5	15	73	43	30	21	34	58	17	71	29	37	62	47	67	42	72
7	21	69	54	0	14	41	66	95	24	42	18	54	41	42	7	62	92	78	55	25	26	14	84	69	13	37	45	39	20	25	68	45	65	15	9	98	75	40	28	85	4	16	85	28	15	76	80	54	77	95	15	53	14	35	38	74	61	29	61	71	75	8	58	87	62	74	97	84	13	73	76	25	77	86	27	81	81	46	91	66
96	37	42	40	82	0	71	9	77	52	62	74	45	43	64	86	61	49	63	92	26	95	32	98	47	39	94	75	15	46	89	36	98	53	41	7	11	54	50	69	25	64	91	12	60	72	70	66	59	53	7	57	62	46	71	54	39	51	71	95	39	67	40	20	13	30	2	48	33	2	50	75	59	56	14	69	1	92	87	49	71
11	14	12	78	78	92	0	39	54	5	96	82	29	18	69	10	34	86	11	44	32	2	96	46	27	89	42	51	85	84	92	38	19	56	12	87	13	40	39	89	31	76	63	64	48	1	27	36	66	80	75	95	76	55	94	4	71	84	1	44	88	67	46	94	96	45	71	82	93	33	23	19	18	66	46	75	61	53	33	24	38
79	14	90	50	22	32	61	0	17	51	34	17	91	19	62	64	42	25	88	2	20	63	77	64	21	72	68	1	53	83	82	16	99	86	23	67	95	69	43	91	63	6	84	64	13	60	84	22	15	97	84	85	80	22	16	14	65	94	34	99	74	84	11	21	97	12	40	86	15	44	62	40	31	4	86	85	85	22	76	94	97
