n:	80
m:	2
Pi[1-99]	56	73	4	45	53	15	63	86	29	85	63	65	59	99	80	56	43	27	67	19	91	94	23	60	13	84	58	83	1	17	13	45	30	38	52	94	58	71	45	71	28	14	50	84	80	26	14	39	12	11	82	85	56	66	99	16	68	68	60	57	32	42	67	41	90	71	86	58	83	41	77	68	26	57	48	92	91	54	23	71
Sij:1-99																																																																															
0	52	76	82	40	37	31	87	81	17	64	43	3	86	67	51	3	61	97	56	35	72	26	13	93	4	73	80	3	19	19	12	46	68	29	69	40	89	11	90	82	14	59	57	75	88	25	34	98	7	32	76	55	19	37	15	43	48	42	4	18	38	84	63	17	60	63	26	56	56	93	65	35	15	16	41	16	41	44	92	91
85	0	2	36	79	13	84	53	12	97	48	11	40	7	62	75	94	89	72	84	4	84	99	35	24	15	70	94	48	2	71	49	17	32	89	85	92	70	58	6	26	91	59	96	33	92	94	37	15	83	92	25	17	71	59	14	32	82	23	65	56	32	63	91	22	16	44	22	27	92	77	3	58	94	98	87	67	82	18	98	51
39	50	0	65	65	63	15	54	19	1	55	56	58	95	2	19	56	59	35	25	19	84	84	11	46	4	70	86	81	82	98	72	11	12	27	11	87	48	13	53	30	9	22	92	61	24	73	77	35	8	51	41	93	80	33	49	16	3	97	81	79	58	62	88	79	75	26	70	60	73	92	43	28	69	17	61	60	31	68	56	5
25	65	22	0	48	65	6	65	29	86	63	41	90	23	73	5	92	8	48	80	41	10	86	50	33	39	53	46	28	77	83	76	5	39	1	30	50	30	89	62	32	19	45	74	53	20	79	1	13	92	76	22	50	75	81	61	34	42	34	60	28	51	60	96	30	45	72	92	79	19	62	51	33	51	1	58	19	48	93	1	3
11	32	93	36	0	1	95	22	10	9	82	92	97	22	79	81	51	46	48	91	13	9	73	89	88	61	62	43	37	83	49	79	36	53	20	21	12	38	16	92	34	29	10	59	41	59	65	52	41	41	69	62	13	50	93	39	83	93	57	4	62	83	32	58	78	62	62	86	59	79	25	62	64	88	24	22	65	16	35	86	43
85	34	34	68	71	0	3	8	32	63	58	24	60	53	29	81	35	94	7	68	64	1	20	63	82	90	48	56	45	19	41	70	53	62	62	30	25	86	49	93	68	99	36	56	49	26	2	43	89	33	49	7	83	80	50	73	95	57	7	90	79	17	46	52	22	41	46	10	29	15	31	51	33	28	69	33	46	37	28	28	69
34	4	96	96	60	69	0	22	59	33	56	39	91	44	15	59	34	48	58	4	26	46	99	23	20	23	27	9	93	17	9	48	9	40	74	65	21	74	11	66	54	35	9	16	68	19	24	33	93	56	5	29	76	33	11	15	33	88	71	79	26	2	76	32	93	86	7	22	77	67	85	91	11	32	34	86	43	27	21	29	12
21	74	60	58	26	31	75	0	52	18	2	59	35	67	6	51	30	34	34	91	81	84	67	18	78	93	2	21	40	15	70	44	89	10	93	30	85	41	9	18	91	70	92	69	38	73	91	36	23	69	74	49	83	20	4	49	34	28	58	58	63	79	84	14	57	16	16	28	70	20	75	55	2	20	15	73	67	70	77	4	65
