n:	80
m:	8
Pi[1-99]	63	71	15	95	49	27	29	24	67	51	5	57	35	93	85	27	79	6	5	89	89	70	96	14	75	20	45	23	47	72	82	27	63	96	12	97	46	79	42	67	52	32	56	23	93	93	85	86	55	37	84	37	1	10	81	35	79	17	46	16	98	31	19	84	91	80	30	73	68	48	36	83	37	62	40	74	11	88	29	25
Sij:1-99																																																																															
0	8	48	91	29	24	90	3	10	67	6	76	58	26	44	70	35	94	9	78	14	69	95	52	2	42	75	49	82	84	48	25	35	64	74	69	18	25	84	30	11	72	68	17	79	21	96	38	60	34	15	23	4	84	97	48	14	82	48	87	83	42	21	49	22	34	2	50	79	69	99	18	20	26	25	79	78	39	7	5	41
47	0	11	16	71	17	99	52	61	60	4	86	61	94	64	63	71	55	72	27	21	6	95	93	73	60	57	14	86	61	26	33	75	40	73	52	17	71	51	6	53	42	52	8	78	47	50	62	98	35	39	84	86	31	49	97	47	48	63	5	38	96	48	97	81	56	71	97	31	6	66	19	8	35	33	81	91	46	86	38	97
85	1	0	73	48	24	69	1	88	74	2	42	76	10	30	76	73	52	25	83	12	5	73	56	2	1	32	45	9	31	12	48	88	37	70	16	19	47	40	41	91	7	25	57	60	3	80	33	45	41	80	46	41	2	52	68	39	30	34	73	22	69	95	70	85	73	85	91	24	33	34	53	46	24	86	78	85	5	18	82	54
35	78	20	0	12	23	79	67	32	97	2	14	36	9	89	44	60	72	24	56	69	21	66	20	69	97	48	62	48	96	8	48	9	24	53	95	54	85	36	12	81	76	59	24	68	80	34	82	47	93	9	41	43	96	91	61	36	78	73	45	79	37	6	71	3	28	19	80	15	58	27	4	83	95	59	41	26	51	29	85	21
86	81	28	74	0	29	33	97	82	75	67	44	20	35	82	51	38	32	85	7	16	71	90	61	24	1	90	33	6	60	98	8	16	84	18	30	59	27	15	56	5	73	23	43	72	40	3	93	50	34	18	9	98	75	77	8	13	72	3	54	90	61	50	77	14	13	38	20	34	2	89	21	3	30	74	1	19	13	93	2	56
28	72	59	34	45	0	86	7	93	48	66	33	92	83	46	59	62	85	93	53	24	55	96	35	20	94	62	20	4	49	68	24	47	52	29	54	6	70	33	69	63	93	99	73	66	67	29	4	75	86	55	67	17	52	17	94	30	9	37	13	12	46	20	6	50	94	50	7	13	70	93	26	40	60	83	15	25	18	33	36	83
31	50	42	98	42	28	0	66	54	42	57	11	35	52	20	58	81	53	76	32	40	16	36	20	98	86	80	19	56	45	90	9	73	24	37	17	64	70	48	6	72	99	66	92	63	1	40	52	80	24	33	32	16	69	20	26	20	93	98	71	40	88	79	78	39	49	93	85	25	95	21	92	55	76	47	70	34	80	85	96	97
83	97	16	89	26	6	5	0	13	88	76	64	35	21	79	28	84	22	30	54	30	88	54	83	35	25	26	10	47	23	57	65	80	75	76	43	20	25	28	74	8	2	34	85	33	80	44	89	72	33	39	31	42	24	94	46	66	51	63	38	54	13	6	58	63	71	84	19	57	91	60	47	60	6	68	54	13	63	31	73	55
12	47	30	96	6	61	1	47	0	1	98	7	7	70	77	16	89	33	98	90	97	30	9	89	42	28	43	14	95	64	26	27	85	51	19	40	3	52	91	80	99	13	11	77	22	31	54	93	32	64	19	88	9	38	14	22	49	70	73	79	21	74	3	71	83	39	38	17	20	94	24	17	22	57	72	57	24	14	57	95	94
93	56	57	14	93	65	98	93	9	0	81	24	62	87	18	23	9	51	5	83	37	41	22	18	77	71	80	7	88	75	24	6	46	13	30	31	48	50	31	84	36	35	78	85	20	99	72	53	77	43	4	99	11	96	59	8	76	67	57	79	11	34	36	17	8	48	96	24	77	21	48	97	43	49	8	55	27	33	6	74	31
93	81	3	28	51	37	95	13	7	59	0	37	94	68	89	76	42	30	53	22	26	77	32	58	26	41	8	89	5	12	89	2	42	90	29	66	17	61	31	76	20	19	97	84	37	26	85	66	59	7	35	81	54	91	86	86	14	3	57	2	29	47	99	62	76	90	81	51	78	30	60	64	14	14	48	60	43	16	67	38	65
15	29	16	14	53	94	94	86	69	61	4	0	17	29	82	68	12	52	53	38	6	47	3	33	70	94	81	86	38	76	92	5	33	34	51	62	35	59	2	96	82	62	50	6	49	8	7	2	48	98	55	50	13	61	15	65	21	42	80	88	29	79	97	16	56	93	95	28	61	24	98	6	49	85	96	9	5	31	50	75	8
95	16	94	68	55	87	64	52	38	31	12	46	0	6	55	60	99	67	62	92	86	57	54	93	6	60	70	79	65	13	81	86	10	15	26	66	57	95	48	65	55	41	68	5	2	42	20	69	55	41	70	60	51	90	24	40	96	29	48	40	54	28	66	99	95	37	82	37	68	82	89	49	50	99	72	60	59	95	96	16	44
84	9	15	35	30	53	55	43	57	57	27	37	68	0	81	28	63	93	48	26	25	72	92	86	35	84	54	72	16	22	33	56	98	4	96	74	73	20	92	62	53	32	14	28	2	67	10	54	94	95	81	62	60	7	37	56	45	34	62	21	99	44	13	54	39	42	25	99	35	64	35	72	65	59	7	65	79	33	53	41	76
